09:27:13 AMCI last=3.146 hi=4.15 bid=3.07 ask=3.21 spread=4.56% trail10vol=5923 cap20=1184 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.56%; SIZE-CAP 1184 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:28:14 AMCI last=3.13 hi=4.15 bid=3.07 ask=3.21 spread=4.56% trail10vol=5929 cap20=1185 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.56%; SIZE-CAP 1185 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:29:13 AMCI last=3.1415 hi=4.15 bid=3.14 ask=3.21 spread=2.23% trail10vol=5960 cap20=1192 shares@ask=4672 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.23%; SIZE-CAP 1192 < 4672 | trig:   AMCI    no buy_set signal in the last 8 bars
09:30:30 AMCI last=3.18 hi=4.15 bid=3.2 ask=3.32 spread=3.75% trail10vol=5060 cap20=1012 shares@ask=4518 fillarm=PASS (ask < trigger) | SPREAD-VETO 3.75%; SIZE-CAP 1012 < 4518 | trig:   AMCI    no buy_set signal in the last 8 bars
09:32:22 AMCI last=3.39 hi=4.15 bid=3.2 ask=3.33 spread=4.06% trail10vol=11599 cap20=2319 shares@ask=4504 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.06%; SIZE-CAP 2319 < 4504 | trig:   AMCI    no buy_set signal in the last 8 bars
09:33:15 AMCI last=3.39 hi=4.15 bid=3.29 ask=3.37 spread=2.43% trail10vol=11599 cap20=2319 shares@ask=4451 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.43%; SIZE-CAP 2319 < 4451 | trig:   AMCI    no buy_set signal in the last 8 bars
09:34:16 AMCI last=3.246 hi=4.15 bid=3.21 ask=3.34 spread=4.05% trail10vol=12895 cap20=2579 shares@ask=4491 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.05%; SIZE-CAP 2579 < 4491 | trig:   AMCI    no buy_set signal in the last 8 bars
09:35:35 AMCI last=3.21 hi=4.15 bid=3.13 ask=3.35 spread=7.03% trail10vol=15276 cap20=3055 shares@ask=4477 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.03%; SIZE-CAP 3055 < 4477 | trig:   AMCI    no buy_set signal in the last 8 bars
09:37:15 AMCI last=3.2 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.13 ask=3.35 spread=7.03% trail10vol=21861 cap20=4372 shares@ask=4477 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.03%; SIZE-CAP 4372 < 4477 | trig:   AMCI    no buy_set signal in the last 8 bars
09:38:15 AMCI last=3.2 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.13 ask=3.35 spread=7.03% trail10vol=21861 cap20=4372 shares@ask=4477 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.03%; SIZE-CAP 4372 < 4477 | trig:   AMCI    no buy_set signal in the last 8 bars
09:39:15 AMCI last=3.27 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.13 ask=3.35 spread=7.03% trail10vol=19067 cap20=3813 shares@ask=4477 fillarm=PASS (ask < trigger) | SPREAD-VETO 7.03%; SIZE-CAP 3813 < 4477 | trig:   AMCI    no buy_set signal in the last 8 bars
09:40:31 AMCI last=3.27 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.13 ask=3.3 spread=5.43% trail10vol=19067 cap20=3813 shares@ask=4545 fillarm=PASS (ask < trigger) | SPREAD-VETO 5.43%; SIZE-CAP 3813 < 4545 | trig:   AMCI    no buy_set signal in the last 8 bars
09:41:15 AMCI last=3.29 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.22 ask=3.3 spread=2.48% trail10vol=19099 cap20=3819 shares@ask=4545 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.48%; SIZE-CAP 3819 < 4545 | trig:   AMCI    no buy_set signal in the last 8 bars
09:42:14 AMCI last=3.29 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.22 ask=3.35 spread=4.04% trail10vol=19099 cap20=3819 shares@ask=4477 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.04%; SIZE-CAP 3819 < 4477 | trig:   AMCI    no buy_set signal in the last 8 bars
09:43:15 AMCI last=3.29 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.22 ask=3.36 spread=4.35% trail10vol=19099 cap20=3819 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.35%; SIZE-CAP 3819 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:44:17 AMCI last=3.305 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.22 ask=3.36 spread=4.35% trail10vol=18568 cap20=3713 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.35%; SIZE-CAP 3713 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:45:27 AMCI last=3.305 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.22 ask=3.36 spread=4.35% trail10vol=18568 cap20=3713 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.35%; SIZE-CAP 3713 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:47:15 AMCI last=3.305 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.22 ask=3.36 spread=4.35% trail10vol=18568 cap20=3713 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 4.35%; SIZE-CAP 3713 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:48:14 AMCI last=3.305 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.22 ask=3.3 spread=2.48% trail10vol=18568 cap20=3713 shares@ask=4545 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.48%; SIZE-CAP 3713 < 4545 | trig:   AMCI    no buy_set signal in the last 8 bars
09:49:15 AMCI last=3.3 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.26 ask=3.3 spread=1.23% trail10vol=18668 cap20=3733 shares@ask=4545 fillarm=PASS (ask < trigger) | SPREAD-VETO 1.23%; SIZE-CAP 3733 < 4545 | trig:   AMCI    no buy_set signal in the last 8 bars
09:50:30 AMCI last=3.3 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.26 ask=3.3 spread=1.23% trail10vol=18668 cap20=3733 shares@ask=4545 fillarm=PASS (ask < trigger) | SPREAD-VETO 1.23%; SIZE-CAP 3733 < 4545 | trig:   AMCI    no buy_set signal in the last 8 bars
09:51:15 AMCI last=3.3 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.23 ask=3.3 spread=2.17% trail10vol=18668 cap20=3733 shares@ask=4545 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.17%; SIZE-CAP 3733 < 4545 | trig:   AMCI    no buy_set signal in the last 8 bars
09:52:14 AMCI last=3.3 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.27 ask=3.36 spread=2.75% trail10vol=12852 cap20=2570 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.75%; SIZE-CAP 2570 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:53:15 AMCI last=3.2749 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.27 ask=3.36 spread=2.75% trail10vol=12752 cap20=2550 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.75%; SIZE-CAP 2550 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:54:14 AMCI last=3.2749 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.27 ask=3.36 spread=2.75% trail10vol=12752 cap20=2550 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.75%; SIZE-CAP 2550 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:55:29 AMCI last=3.2749 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.27 ask=3.36 spread=2.75% trail10vol=12752 cap20=2550 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.75%; SIZE-CAP 2550 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:57:39 AMCI last=3.2749 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.27 ask=3.36 spread=2.75% trail10vol=12752 cap20=2550 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.75%; SIZE-CAP 2550 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:58:10 AMCI last=3.2749 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.27 ask=3.36 spread=2.75% trail10vol=12752 cap20=2550 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.75%; SIZE-CAP 2550 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
09:59:11 AMCI last=3.2749 hi=4.15 ORB/rth_hi=3.39 A-arm=PASS bid=3.27 ask=3.36 spread=2.75% trail10vol=12752 cap20=2550 shares@ask=4464 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.75%; SIZE-CAP 2550 < 4464 | trig:   AMCI    no buy_set signal in the last 8 bars
10:00:49 AMCI last=3.36 hi=4.15 ORB/rth_hi=3.39 A-arm=CHASE bid=3.32 ask=3.4 spread=2.41% trail10vol=14527 cap20=2905 shares@ask=4411 fillarm=PASS (ask < trigger) | SPREAD-VETO 2.41%; SIZE-CAP 2905 < 4411 | trig:   AMCI    no buy_set signal in the last 8 bars
