SDUR	Aristotle Short Term Income ETF	0.10843373493975916	27.6	9.2394
SPAQ	Listed Funds Trust Horizon Kinetics SPAC Active ETF	0.1080720123938244	103.71	13.4084
TAJX	Corgi India 2x Daily ETF	0.10777014940629312	26.01	6
IREG	Leverage Shares 2X Long IREN Daily ETF	0.10747652385845015	9.2698	688082.051205
CIFG	Themes ETF Trust Leverage Shares 2X Long CIFR Daily ETF	0.10735459846146289	4.52	1.678261416546e+06
GFGF	EA Series Trust Guru Favorite Stocks ETF	0.10673634077106246	39.69	207.1289
YI	111, Inc	0.10650887573964507	3.74	11126.2616
APLX	Tradr 2X Long APLD Daily ETF	0.10617563739376772	7.8096	2.080729400459e+06
XSEM	Corgi U.S. Semiconductors 2x Daily ETF	0.10505836575875503	18.46	723.6294
DVDN	Kingsbarn Dividend Opportunity ETF	0.10368349249658933	16.18	832.433
JL	J-Long Group Limited Class A	0.10328638497652592	4.7	4708
IRE	Defiance Daily Target 2X Long IREN ETF	0.10324483775811216	11.22	6.909580340074e+06
MNOV	MediciNova	0.10317460317460309	2.78	1.421092024794e+06
AV	Corgi Aerospace & Commercial Aviation ETF	0.10311787779655494	28.46	1064.419
CHNR	China Natural Resources	0.10242587601078164	4.09	4814
ITDE	iShares LifePath Target Date 2045 ETF	0.10233695434320764	44	8757.632286
ION	ProShares S&P Global Core Battery Metals ETF	0.10185310710896515	52.83	2008.9398
TBXU	Direxion Daily Biotech Top 5 Bull 2X ETF	0.1015397700457937	42.48	19369.9967
